ax,ay,az,gx,gy,gz
-1.478, -4.000, -4.000, -31.067, -7.446, -99.976
-1.455, -4.000, -4.000, -38.696, -64.575, -18.555
-1.594, -4.000, -4.000, -49.194, -122.375, 54.871
-1.828, -3.488, -4.000, -54.260, -180.664, 111.328
-2.134, -2.367, -3.986, -44.739, -236.816, 147.583
-2.441, -1.376, -3.774, -23.987, -290.222, 166.138
-2.772, -0.789, -3.494, -0.916, -344.910, 166.809
-3.210, -0.465, -2.928, 6.958, -399.597, 157.898
-3.535, -0.342, -2.189, 13.123, -451.660, 147.156
-3.793, -0.332, -1.229, -2.502, -494.873, 139.954
-3.969, -0.274, -0.028, -39.368, -526.733, 139.465
-3.994, -0.202, 1.420, -84.351, -544.739, 144.531
-3.894, -0.050, 2.941, -111.572, -546.692, 156.189
-3.605, 0.557, 4.000, -103.333, -533.813, 173.096
-3.151, 1.389, 4.000, -83.801, -502.380, 181.702
-2.567, 1.911, 4.000, -58.533, -450.012, 171.265
-2.037, 2.309, 4.000, -28.625, -381.531, 150.208
-1.485, 2.229, 4.000, 8.606, -303.894, 117.554
-1.022, 1.613, 4.000, 26.550, -222.412, 78.430
-0.760, 0.883, 4.000, 7.568, -157.593, 50.964
-0.639, 0.570, 3.817, -26.062, -119.934, 42.664
-0.581, 0.435, 3.463, -38.940, -102.295, 43.213
-0.574, 0.482, 3.441, -33.508, -91.675, 45.898
-0.524, 0.582, 3.525, -13.550, -80.261, 46.814
-0.474, 0.689, 3.549, 18.494, -64.819, 44.922
-0.432, 0.648, 3.462, 44.861, -44.495, 39.062
-0.418, 0.595, 3.114, 57.922, -20.325, 32.288
-0.411, 0.555, 2.568, 57.007, 3.113, 26.123
-0.417, 0.572, 1.981, 43.335, 21.851, 19.775
-0.400, 0.506, 1.414, 22.644, 34.424, 11.169
-0.370, 0.426, 0.909, 1.648, 39.856, 2.380
-0.377, 0.295, 0.536, -13.245, 37.476, -4.578
-0.368, 0.126, 0.356, -19.348, 28.870, -10.742
-0.377, -0.134, 0.299, -16.052, 16.968, -14.587
-0.370, -0.333, 0.330, -6.287, 4.456, -13.428
-0.375, -0.406, 0.426, 4.333, -6.653, -7.812
-0.389, -0.346, 0.523, 11.414, -15.686, -0.671
-0.380, -0.164, 0.636, 14.587, -22.339, 6.042
-0.402, 0.031, 0.789, 13.000, -27.161, 9.094
-0.401, 0.169, 0.926, 8.972, -28.931, 7.568
-0.403, 0.219, 1.047, 4.578, -28.503, 2.808
-0.415, 0.156, 1.180, 0.671, -26.611, -2.808
-0.405, 0.051, 1.284, -2.441, -22.461, -7.629
-0.412, -0.075, 1.344, -3.906, -16.968, -10.437
-0.411, -0.181, 1.291, -3.906, -10.132, -11.169
-0.420, -0.233, 1.199, -1.648, -4.517, -9.460
-0.436, -0.242, 1.094, 2.380, -0.427, -6.958
-0.434, -0.208, 0.961, 5.249, 2.380, -4.456
-0.435, -0.151, 0.840, 6.836, 3.418, -2.747
-0.436, -0.080, 0.803, 7.629, 2.625, -2.380
-0.454, -0.084, 0.795, 8.484, 1.038, -3.723
-0.448, -0.092, 0.818, 8.179, -0.427, -5.371
-0.469, -0.144, 0.870, 7.019, -1.587, -6.836
-0.471, -0.193, 0.890, 6.714, -1.831, -7.507
-0.471, -0.199, 0.880, 7.141, -1.526, -7.141
-0.466, -0.192, 0.869, 9.033, -1.282, -6.592
-0.473, -0.173, 0.865, 12.573, -1.648, -6.287
-0.476, -0.219, 0.898, 15.259, -2.075, -7.141
-0.481, -0.283, 0.954, 15.320, -2.075, -7.629
-0.485, -0.317, 0.991, 12.512, -0.793, -6.470
-0.479, -0.290, 0.994, 8.789, 1.099, -4.028
-0.485, -0.198, 0.987, 5.920, 3.052, -2.075
-0.477, -0.144, 0.957, 4.639, 4.761, -1.831
-0.472, -0.156, 0.915, 2.625, 5.981, -3.052
-0.472, -0.182, 0.893, 0.183, 6.531, -4.089
-0.469, -0.234, 0.875, -0.305, 6.775, -4.578
-0.471, -0.316, 0.820, 1.770, 7.080, -4.211
-0.462, -0.357, 0.735, 5.371, 6.348, -2.625
-0.458, -0.302, 0.695, 8.606, 4.089, 0.671
-0.448, -0.262, 0.704, 8.911, 1.282, 2.625
-0.443, -0.207, 0.749, 7.812, -1.587, 4.150
-0.438, -0.146, 0.816, 7.446, -3.601, 4.700
-0.434, -0.103, 0.901, 7.507, -4.761, 4.333
-0.431, -0.051, 0.990, 7.446, -4.639, 3.296
-0.434, -0.036, 1.056, 7.263, -3.357, 1.648
-0.422, -0.036, 1.048, 5.493, -0.427, -0.610
-0.425, -0.076, 0.992, 3.052, 2.502, -2.319
-0.422, -0.139, 0.951, 1.404, 4.578, -3.540
-0.434, -0.176, 0.905, 1.587, 5.737, -3.845
-0.441, -0.253, 0.838, 2.502, 6.531, -3.784
-0.447, -0.367, 0.764, 1.831, 6.287, -3.296
-0.448, -0.398, 0.715, 3.113, 4.700, -0.854

