ax,ay,az,gx,gy,gz
-1.675, 1.694, 1.005, -16.174, 276.489, -88.318
-1.733, 1.633, 0.824, -24.292, 281.982, -104.614
-1.791, 1.563, 0.591, -37.720, 287.231, -121.338
-1.839, 1.442, 0.298, -50.598, 290.710, -138.916
-1.851, 1.206, 0.046, -62.500, 291.138, -157.043
-1.858, 1.006, -0.186, -74.402, 288.879, -170.959
-1.864, 0.931, -0.445, -86.670, 284.363, -181.641
-1.842, 0.904, -0.752, -100.647, 277.344, -192.200
-1.768, 0.810, -1.172, -118.958, 267.639, -205.200
-1.646, 0.768, -1.689, -137.634, 252.686, -217.651
-1.498, 0.712, -2.144, -154.053, 229.858, -230.225
-1.371, 0.438, -2.466, -161.865, 197.998, -245.239
-1.233, 0.207, -2.640, -163.757, 160.400, -255.066
-1.116, 0.134, -2.722, -155.396, 120.667, -257.690
-1.065, 0.146, -2.789, -142.334, 80.750, -258.850
-1.033, 0.141, -2.815, -132.202, 39.551, -261.292
-1.022, 0.174, -2.797, -128.052, -0.549, -264.282
-1.075, -0.007, -2.708, -129.211, -40.894, -271.179
-1.140, -0.269, -2.625, -127.686, -80.688, -276.428
-1.225, -0.689, -2.492, -122.681, -119.751, -279.480
-1.306, -1.212, -2.163, -115.234, -158.447, -278.076
-1.410, -1.850, -1.637, -98.511, -194.946, -270.325
-1.414, -2.459, -1.060, -80.322, -224.670, -254.700
-1.411, -3.172, -0.381, -62.866, -246.948, -231.689
-1.408, -3.701, 0.195, -46.997, -259.766, -197.327
-1.343, -4.000, 0.596, -43.762, -263.367, -155.029
-1.294, -4.000, 0.836, -45.837, -262.146, -107.788
-1.307, -4.000, 1.038, -45.349, -259.521, -59.937
-1.333, -4.000, 1.264, -38.391, -257.385, -17.029
-1.365, -4.000, 1.539, -23.132, -255.432, 19.043
-1.437, -4.000, 1.812, 0.549, -251.526, 53.772
-1.495, -4.000, 2.022, 15.808, -244.873, 89.172
-1.603, -4.000, 2.226, 39.185, -237.122, 128.357
-1.730, -4.000, 2.416, 70.312, -230.042, 181.030
-1.917, -4.000, 2.695, 93.323, -222.595, 234.985
-2.118, -4.000, 3.141, 106.934, -215.149, 289.001
-2.291, -3.595, 3.710, 109.375, -203.491, 341.125
-2.444, -2.750, 4.000, 104.980, -183.655, 386.658
-2.527, -1.647, 4.000, 81.909, -155.701, 424.133
-2.564, -0.386, 4.000, 47.852, -119.019, 450.623
-2.502, 0.979, 4.000, -2.075, -75.378, 461.853
-2.267, 2.760, 4.000, -60.852, -29.175, 460.449
-1.880, 4.000, 3.864, -100.403, 13.000, 439.880
-1.381, 4.000, 3.414, -71.106, 45.105, 388.855
-0.853, 4.000, 2.939, -20.752, 67.688, 308.960
-0.488, 4.000, 2.517, 2.014, 84.961, 206.848
-0.263, 4.000, 1.939, 27.771, 99.487, 107.361
-0.119, 3.965, 1.316, 45.959, 108.765, 32.654
-0.050, 2.478, 0.803, 52.490, 111.084, -11.414
-0.036, 1.221, 0.334, 50.781, 107.666, -28.259
0.080, 0.536, 0.016, 43.091, 99.670, -22.583
0.066, 0.399, -0.244, 33.142, 88.135, -4.272
0.066, 0.701, -0.184, 30.212, 71.289, 15.564
0.062, 1.193, 0.119, 37.048, 54.932, 28.320
0.053, 1.449, 0.449, 48.340, 44.617, 27.649
0.038, 1.404, 0.620, 59.143, 41.809, 18.127
0.016, 1.249, 0.609, 64.819, 43.701, 8.362
0.009, 1.218, 0.447, 63.354, 46.875, 2.563
0.004, 1.372, 0.259, 54.932, 47.974, -1.587
-0.003, 1.771, 0.093, 41.748, 46.021, -7.202
-0.036, 2.184, 0.073, 29.785, 40.405, -21.362
-0.084, 2.230, 0.139, 22.400, 33.020, -47.485
-0.196, 2.064, 0.272, 14.893, 26.733, -77.942
-0.285, 1.744, 0.360, 10.193, 22.217, -106.201
-0.345, 1.345, 0.375, 8.545, 19.287, -129.333
-0.384, 0.888, 0.350, 7.629, 16.907, -146.973
-0.377, 0.520, 0.248, 4.211, 13.977, -156.677
-0.342, 0.323, 0.108, -1.709, 10.132, -159.241
-0.300, 0.206, 0.018, -9.521, 3.906, -158.447
-0.268, 0.175, -0.064, -21.240, -3.113, -156.067
-0.247, 0.266, -0.224, -39.185, -10.742, -151.917
-0.247, 0.703, -0.387, -63.354, -21.362, -146.362
-0.378, 1.089, -0.491, -82.825, -35.461, -147.888
-0.488, 1.599, -0.910, -82.031, -50.964, -158.203
-0.681, 1.970, -1.463, -80.750, -72.998, -176.941
-0.977, 2.218, -1.923, -74.402, -105.896, -205.200
-1.400, 2.391, -2.122, -59.753, -148.621, -239.807
-1.908, 2.348, -1.737, -67.505, -199.280, -279.785
-2.411, 1.739, -0.555, -67.322, -251.770, -325.928
-2.782, 0.631, 0.913, -58.044, -288.574, -366.638
-2.899, -0.743, 2.283, -47.607, -302.124, -392.578
-2.835, -2.150, 3.653, -26.489, -295.105, -396.729
-2.398, -3.405, 4.000, 4.517, -265.930, -376.953
-1.863, -4.000, 4.000, 35.828, -216.614, -336.792
-1.467, -4.000, 4.000, 47.119, -160.950, -275.757
-1.062, -4.000, 4.000, 34.363, -110.596, -204.346
-0.812, -4.000, 3.521, 6.409, -64.087, -128.479
-0.644, -3.183, 2.770, -16.907, -32.043, -66.711
-0.540, -2.195, 2.253, -29.602, -13.733, -27.832
-0.452, -1.336, 1.841, -30.518, -4.395, -7.324
-0.370, -0.767, 1.503, -26.001, -0.610, -2.380
-0.298, -0.510, 1.276, -20.386, -0.793, -6.287
-0.249, -0.463, 1.161, -13.062, -4.150, -12.634
-0.180, -0.510, 1.141, -3.296, -8.484, -17.700
-0.148, -0.628, 1.197, 8.057, -12.207, -19.714
-0.125, -0.774, 1.258, 16.418, -14.160, -18.799
-0.099, -0.850, 1.307, 18.372, -13.977, -13.611
-0.095, -0.794, 1.418, 15.259, -12.329, -5.737
-0.091, -0.655, 1.476, 8.240, -8.545, 1.953

-0.647, 0.167, 2.380, -14.465, 12.939, 53.162
-0.665, 0.243, 2.533, -15.503, 23.071, 56.335
-0.686, 0.376, 2.656, -16.907, 35.461, 59.265
-0.734, 0.502, 2.690, -13.855, 50.354, 60.486
-0.780, 0.606, 2.639, -14.343, 65.857, 59.387
-0.818, 0.741, 2.634, -18.921, 80.505, 57.495
-0.864, 0.931, 2.818, -36.865, 93.689, 54.504
-0.925, 1.206, 3.132, -68.909, 108.948, 49.072
-0.990, 1.462, 3.387, -101.807, 129.517, 39.246
-1.133, 1.656, 3.424, -121.338, 155.457, 24.231
-1.214, 1.836, 3.418, -125.305, 181.702, 7.507
-1.335, 2.022, 3.258, -124.329, 210.876, -10.925
-1.449, 2.094, 2.907, -115.295, 238.770, -32.593
-1.554, 2.171, 2.446, -102.661, 262.756, -54.932
-1.670, 2.134, 2.030, -91.309, 280.945, -78.918
-1.796, 2.022, 1.700, -80.261, 293.274, -101.807
-1.931, 1.862, 1.382, -72.754, 302.673, -123.047
-2.019, 1.774, 1.004, -72.388, 309.875, -140.503
-2.039, 1.616, 0.539, -77.148, 313.904, -158.569
-2.048, 1.358, 0.078, -76.172, 312.500, -176.575
-1.983, 1.104, -0.335, -69.519, 305.176, -190.552
-1.867, 0.888, -0.669, -63.293, 292.969, -199.646
-1.745, 0.770, -0.929, -63.843, 277.588, -204.346
-1.604, 0.805, -1.089, -72.754, 260.132, -206.787
-1.505, 0.869, -1.126, -79.834, 241.333, -211.609
-1.438, 0.800, -1.105, -83.313, 222.290, -220.459
-1.376, 0.723, -1.083, -84.656, 205.383, -229.065
-1.342, 0.628, -1.092, -85.938, 189.819, -236.572
-1.365, 0.623, -1.229, -88.318, 175.659, -243.347
-1.325, 0.560, -1.543, -93.384, 161.255, -251.099
-1.252, 0.310, -1.933, -99.365, 143.066, -262.390
-1.176, -0.001, -2.311, -109.863, 118.530, -271.118
-1.125, -0.377, -2.662, -118.469, 87.830, -275.818
-1.033, -0.634, -3.026, -126.099, 50.659, -273.560
-0.969, -0.582, -3.249, -127.686, 6.897, -263.550
-0.994, -0.616, -3.225, -115.417, -42.908, -256.775
-1.071, -0.809, -3.026, -106.750, -93.201, -253.784
-1.183, -1.100, -2.625, -105.591, -141.235, -249.451
-1.266, -1.380, -2.123, -108.032, -184.631, -239.746
-1.319, -1.691, -1.532, -108.337, -221.497, -226.379
-1.387, -2.061, -0.897, -104.187, -250.732, -209.778
-1.425, -2.456, -0.257, -97.778, -271.240, -188.599
-1.430, -2.796, 0.307, -77.942, -284.607, -162.231
-1.427, -3.180, 0.874, -58.228, -290.833, -132.874
-1.389, -3.586, 1.438, -39.795, -290.771, -100.769
-1.326, -3.921, 1.983, -19.714, -283.813, -62.622
-1.285, -4.000, 2.411, -8.362, -269.409, -20.020
-1.266, -4.000, 2.661, -3.601, -249.146, 25.269
-1.250, -3.960, 2.731, -6.226, -225.464, 71.350
-1.275, -3.706, 2.670, -9.705, -202.026, 115.173
-1.338, -3.467, 2.729, -10.864, -182.495, 154.297
-1.403, -3.225, 2.790, -1.282, -165.161, 191.284
-1.507, -3.052, 2.850, 24.048, -149.048, 224.487
-1.622, -3.074, 2.931, 49.561, -134.399, 253.845
-1.772, -3.186, 3.130, 74.951, -122.131, 285.583
-2.005, -3.176, 3.486, 104.675, -110.901, 324.890
-2.250, -2.821, 3.847, 130.798, -96.130, 371.399
-2.486, -2.007, 4.000, 137.817, -75.195, 419.739
-2.654, -0.805, 4.000, 118.774, -46.814, 460.022
-2.698, 0.522, 3.887, 73.059, -13.855, 481.934
-2.653, 1.696, 3.437, 17.761, 20.996, 482.849
-2.464, 3.220, 2.692, -46.204, 55.664, 473.938
-2.030, 4.000, 2.018, -90.271, 81.787, 453.979
-1.477, 4.000, 1.499, -90.210, 94.604, 397.278
-0.930, 4.000, 1.265, -64.026, 97.351, 302.002
-0.527, 4.000, 1.037, -34.973, 97.473, 188.049
-0.316, 4.000, 0.810, -2.991, 94.910, 81.970
-0.202, 4.000, 0.603, 20.264, 90.515, -0.854
-0.141, 3.033, 0.477, 29.663, 85.266, -51.697
-0.098, 1.744, 0.440, 29.846, 79.285, -73.730
-0.117, 0.979, 0.368, 26.550, 74.524, -72.815
-0.010, 0.647, 0.416, 26.245, 70.007, -59.204
-0.052, 0.600, 0.343, 29.907, 68.359, -42.358
