ax,ay,az,gx,gy,gz
-2.739, -0.553, 4.000, 28.015, -533.447, -33.691
-2.130, -0.806, 4.000, 45.349, -465.759, -29.785
-1.624, -0.661, 4.000, 23.438, -388.245, -16.602
-1.297, -0.075, 4.000, -26.245, -316.467, -1.526
-1.012, 0.548, 4.000, -59.937, -249.817, 4.883
-0.817, 0.800, 4.000, -62.622, -187.622, -3.113
-0.682, 0.646, 3.952, -38.513, -138.123, -19.104
-0.587, 0.134, 3.004, -17.273, -107.422, -35.767
-0.516, -0.513, 2.362, -11.780, -92.224, -44.739
-0.471, -0.968, 2.035, -9.583, -87.402, -38.940
-0.443, -1.045, 1.947, -5.737, -86.853, -21.912
-0.436, -0.831, 1.951, 5.066, -86.304, -2.563
-0.410, -0.442, 2.005, 16.235, -84.290, 13.123
-0.384, -0.108, 2.212, 25.330, -80.750, 20.447
-0.360, 0.143, 2.507, 32.349, -73.547, 21.790
-0.327, 0.276, 2.647, 34.729, -59.570, 18.555
-0.309, 0.330, 2.536, 29.724, -40.649, 13.794
-0.309, 0.319, 2.296, 21.118, -22.156, 8.057
-0.297, 0.281, 1.966, 10.803, -6.348, 3.052
-0.298, 0.224, 1.589, 1.587, 4.761, -1.099
-0.295, 0.161, 1.260, -4.272, 10.437, -3.723
-0.297, 0.051, 1.028, -6.653, 11.475, -6.592
-0.302, -0.097, 0.909, -5.371, 8.789, -7.874
-0.307, -0.166, 0.861, -1.648, 4.578, -5.859
-0.308, -0.171, 0.894, 1.709, -0.122, -2.380
-0.309, -0.094, 1.006, 4.089, -4.028, 1.282
-0.317, 0.011, 1.154, 7.385, -6.348, 4.150
-0.314, 0.043, 1.249, 10.864, -5.798, 4.272
-0.310, 0.035, 1.289, 13.000, -2.991, 3.357
-0.315, 0.107, 1.339, 11.658, 0.427, 3.845
-0.310, 0.235, 1.340, 7.446, 5.066, 3.723
-0.316, 0.269, 1.296, 1.038, 10.742, 0.122
-0.321, 0.187, 1.187, -5.676, 16.052, -4.639
-0.329, 0.040, 1.043, -9.705, 19.836, -8.850
-0.329, -0.105, 0.903, -10.620, 21.667, -10.315
-0.328, -0.146, 0.776, -9.399, 21.362, -8.179
-0.341, -0.173, 0.689, -7.263, 18.799, -5.676
-0.348, -0.203, 0.638, -3.479, 14.954, -3.479
-0.354, -0.146, 0.674, 2.808, 9.949, -0.305
-0.342, -0.040, 0.750, 9.583, 5.371, 2.808

-0.784, -1.240, -1.788, -66.284, -118.042, -183.533
-0.912, -2.111, -1.876, -61.035, -148.132, -177.246
-1.018, -2.801, -2.036, -58.411, -180.237, -156.616
