ax,ay,az,gx,gy,gz
-4.000, 2.013, 4.000, -45.105, -705.688, 32.776
-3.993, 0.989, 4.000, -52.551, -632.324, 11.658
-2.963, 0.688, 4.000, -94.116, -532.471, 15.625
-1.991, 1.215, 4.000, -132.996, -406.372, 35.645
-1.345, 2.198, 4.000, -137.085, -261.230, 44.312
-0.964, 2.526, 4.000, -95.947, -118.530, 23.926
-0.728, 1.829, 4.000, -72.449, -11.292, -17.151
-0.608, 0.786, 3.109, -62.561, 43.030, -49.683
-0.589, -0.221, 1.691, -51.086, 54.871, -62.073
-0.561, -0.941, 1.058, -33.325, 43.579, -55.298
-0.502, -1.255, 0.745, -7.751, 25.330, -34.241
-0.457, -1.089, 0.585, 17.212, 6.714, -6.653
-0.412, -0.575, 0.578, 32.715, -10.559, 18.372
-0.384, -0.009, 0.693, 38.940, -26.123, 32.959
-0.344, 0.488, 0.856, 39.856, -37.598, 35.583
-0.298, 0.739, 1.138, 39.124, -44.922, 27.954
-0.256, 0.681, 1.503, 33.325, -46.997, 13.611
-0.236, 0.469, 1.879, 21.301, -41.687, 0.000
-0.254, 0.172, 2.049, 7.690, -29.175, -9.094
-0.264, -0.114, 1.906, -5.615, -11.902, -13.123
-0.300, -0.169, 1.534, -17.151, 3.174, -10.376
-0.313, -0.098, 1.084, -26.306, 12.512, -5.859
-0.325, 0.084, 0.775, -31.677, 14.282, -2.808
-0.333, 0.146, 0.666, -30.090, 9.521, -4.089
-0.332, 0.064, 0.658, -22.705, 2.869, -7.935
-0.326, -0.128, 0.699, -13.367, -3.418, -10.803
-0.316, -0.331, 0.882, -4.517, -9.277, -10.559
-0.317, -0.399, 1.134, 3.662, -13.000, -5.310

-0.731, 0.626, 2.376, -60.852, -55.420, 29.541
-0.791, 0.971, 3.198, -68.115, -56.274, 31.982
-0.825, 1.177, 3.988, -70.129, -48.401, 27.893
-0.843, 1.414, 4.000, -65.002, -29.846, 21.729
-0.854, 1.682, 4.000, -61.768, -1.953, 13.245
-0.927, 1.857, 4.000, -43.213, 33.875, -0.488
-1.023, 1.933, 4.000, -24.597, 81.360, -16.235
-1.179, 1.902, 4.000, -10.376, 134.094, -34.851
-1.347, 1.716, 4.000, -3.662, 185.242, -55.237
-1.542, 1.419, 4.000, -0.793, 229.187, -74.890
-1.745, 1.089, 3.854, -3.113, 266.235, -91.064
-1.943, 0.649, 3.276, -8.911, 299.683, -104.370
-2.109, 0.282, 2.742, -20.264, 328.979, -113.159
-2.272, 0.040, 2.322, -34.485, 353.577, -116.577
-2.412, -0.050, 1.945, -44.800, 375.244, -118.713
-2.538, -0.170, 1.560, -43.457, 395.081, -122.375
-2.630, -0.377, 1.142, -27.344, 412.842, -126.709
-2.709, -0.657, 0.687, -6.348, 428.711, -128.235
-2.753, -0.846, 0.247, 10.315, 441.162, -123.352
-2.787, -0.967, -0.057, 20.935, 449.524, -112.854
-2.813, -1.057, -0.274, 29.907, 455.505, -99.060
-2.901, -0.870, -0.630, 26.978, 461.609, -80.261
-2.854, -0.393, -1.120, 25.513, 464.722, -60.425
-2.783, -0.091, -1.663, 30.090, 461.975, -50.049
-2.779, 0.088, -2.591, 47.119, 451.965, -47.363
-2.416, -0.033, -3.690, 33.386, 431.580, -47.180
-1.910, -0.156, -4.000, 34.851, 392.883, -49.194
-1.419, -0.140, -4.000, 10.559, 337.952, -48.584
-0.900, -0.480, -4.000, -8.667, 251.404, -48.645
-0.651, -0.383, -4.000, 16.357, 148.987, -45.654
-0.570, -0.416, -4.000, 7.019, 33.081, -45.227
-0.708, -0.358, -4.000, -33.508, -84.839, -42.847
-1.211, -0.667, -4.000, -62.988, -200.684, -47.363
-1.761, -0.825, -4.000, -95.154, -298.706, -38.330
-2.366, -0.859, -4.000, -122.559, -381.165, -21.118
