ax,ay,az,dx,dy,dz,x,y,z
-20.701, -9.994, -48.799, -0.955, -2.221, 1.188, -0.067, -0.014, -0.056
-24.308, -6.422, -48.799, -0.852, -2.320, 1.139, -0.069, -0.015, -0.059
-28.617, -0.978, -48.722, -1.035, -2.983, 1.373, -0.071, -0.015, -0.063
-31.340, 4.463, -41.889, -0.385, -3.367, 1.408, -0.073, -0.015, -0.066
-35.249, 5.251, -31.554, -0.438, -3.319, 1.223, -0.076, -0.014, -0.069
-37.513, 7.021, -17.403, -0.519, -3.602, 1.220, -0.078, -0.014, -0.070
-37.898, 9.391, -3.573, -0.332, -4.512, 1.387, -0.081, -0.013, -0.070
-34.821, 13.973, 15.013, -0.325, -3.983, 1.373, -0.084, -0.012, -0.069
-31.262, 15.837, 29.671, -0.121, -3.517, 1.080, -0.086, -0.011, -0.068
-24.526, 16.179, 29.671, -0.012, -3.680, 1.008, -0.088, -0.010, -0.065
-17.577, 14.574, 29.671, 0.110, -2.895, 0.694, -0.089, -0.009, -0.063
-10.924, 11.912, 29.671, 0.046, -2.748, 0.568, -0.090, -0.008, -0.061
-6.001, 8.743, 29.671, -0.150, -1.968, 0.352, -0.091, -0.007, -0.059
-2.793, 7.024, 29.671, -0.311, -1.505, 0.265, -0.091, -0.007, -0.057
-0.231, 5.991, 29.671, -0.399, -1.246, 0.233, -0.091, -0.006, -0.055
0.999, 3.698, 28.467, -0.341, -0.954, 0.149, -0.091, -0.006, -0.052
1.784, 2.049, 22.856, -0.145, -0.704, 0.088, -0.091, -0.006, -0.051
1.973, 0.923, 19.950, -0.002, -0.618, 0.060, -0.091, -0.006, -0.050
2.075, -1.478, 17.289, 0.066, -0.607, 0.023, -0.090, -0.006, -0.048
2.256, -4.141, 14.794, 0.071, -0.525, -0.001, -0.090, -0.006, -0.047
1.966, -5.447, 13.369, 0.058, -0.412, 0.021, -0.090, -0.007, -0.046
1.983, -5.935, 12.255, 0.044, -0.403, 0.073, -0.090, -0.007, -0.045
1.973, -5.294, 11.193, -0.017, -0.306, 0.115, -0.090, -0.007, -0.044
1.757, -3.312, 10.086, -0.089, -0.287, 0.189, -0.090, -0.008, -0.044
1.726, -0.614, 9.855, -0.074, -0.211, 0.197, -0.090, -0.008, -0.043
1.620, 0.816, 9.532, -0.024, -0.195, 0.200, -0.089, -0.008, -0.042
1.551, 1.595, 8.271, 0.019, -0.128, 0.136, -0.089, -0.008, -0.042
1.512, 1.170, 6.686, 0.035, -0.094, 0.093, -0.089, -0.007, -0.041
1.316, -0.263, 4.955, 0.016, -0.048, 0.031, -0.089, -0.007, -0.041
1.017, -2.143, 2.741, -0.029, -0.023, -0.004, -0.089, -0.008, -0.040
1.005, -3.140, 0.490, 0.113, -0.011, -0.004, -0.089, -0.008, -0.040
0.807, -3.281, -0.660, -0.528, 0.293, 0.016, -0.089, -0.008, -0.040
0.545, -2.459, -0.798, -0.498, 0.275, 0.041, -0.089, -0.008, -0.040
0.414, -1.622, -0.402, -0.478, 0.212, 0.045, -0.089, -0.008, -0.040
0.360, -1.384, 0.271, -0.001, -0.076, 0.041, -0.089, -0.008, -0.040
0.211, -1.476, 1.968, -0.104, -0.123, 0.026, -0.089, -0.009, -0.040
0.081, -1.916, 3.400, -0.068, -0.132, 0.018, -0.089, -0.009, -0.040
-0.133, -1.963, 3.618, -0.049, -0.131, 0.021, -0.089, -0.009, -0.040
-0.339, -2.277, 2.857, -0.042, -0.110, 0.021, -0.089, -0.009, -0.040
