ax,ay,az,dx,dy,dz,x,y,z
0.522, -3.117, -2.476, -0.302, 0.279, -0.123, -0.136, 0.001, -0.003
0.480, -4.373, -2.807, -0.291, 0.258, -0.126, -0.136, 0.001, -0.003
0.431, -5.599, -2.143, -0.373, 0.254, -0.123, -0.136, 0.000, -0.003
0.332, -6.230, -0.766, -0.588, 0.207, -0.077, -0.136, -0.000, -0.003
0.239, -5.593, 0.893, 0.045, -0.132, -0.013, -0.136, -0.001, -0.003
0.134, -4.296, 2.375, -0.136, -0.165, 0.047, -0.136, -0.001, -0.003
0.068, -3.231, 3.083, -0.136, -0.133, 0.075, -0.136, -0.001, -0.003
0.138, -2.409, 3.014, -0.146, -0.120, 0.104, -0.136, -0.001, -0.003
0.141, -1.360, 2.647, -0.120, -0.081, 0.105, -0.136, -0.001, -0.002
0.091, -0.579, 2.283, -0.119, -0.070, 0.117, -0.136, -0.001, -0.002

-11.447, 4.680, 17.222, -0.296, -1.008, 0.429, -0.001, 0.000, 0.001
-12.925, 4.621, 21.369, -0.340, -1.057, 0.510, -0.002, 0.001, 0.003
-13.492, 6.884, 24.085, -0.310, -0.837, 0.504, -0.002, 0.001, 0.004
-13.807, 10.365, 26.438, -0.359, -0.808, 0.595, -0.004, 0.002, 0.006
-14.224, 13.185, 29.671, -0.304, -0.599, 0.483, -0.005, 0.003, 0.008
-14.923, 14.372, 29.671, -0.202, -0.472, 0.380, -0.005, 0.004, 0.010
-15.545, 14.446, 29.671, -0.138, -0.322, 0.274, -0.007, 0.005, 0.012
-16.374, 11.656, 29.671, -0.109, -0.032, 0.113, -0.008, 0.006, 0.015
-17.693, 10.692, 29.671, -0.003, 0.293, -0.000, -0.009, 0.006, 0.017
-19.155, 9.137, 29.671, 0.020, 0.731, -0.096, -0.011, 0.007, 0.019
-21.188, 7.398, 29.671, 0.027, 1.001, -0.158, -0.012, 0.008, 0.021
-23.725, 6.452, 29.671, 0.067, 1.501, -0.235, -0.014, 0.008, 0.023
-26.340, 7.204, 29.671, 0.130, 1.861, -0.255, -0.016, 0.009, 0.026
-29.189, 8.857, 29.671, 0.161, 1.971, -0.259, -0.018, 0.009, 0.028
-32.311, 9.941, 29.671, 0.176, 2.267, -0.326, -0.020, 0.010, 0.030
-35.919, 9.717, 26.564, 0.204, 2.862, -0.486, -0.023, 0.011, 0.032
-39.112, 7.906, 20.021, 0.238, 3.148, -0.613, -0.026, 0.011, 0.033
-39.999, 4.870, 13.545, 0.257, 3.029, -0.641, -0.028, 0.012, 0.034
-39.999, 1.913, 8.041, 0.280, 3.253, -0.684, -0.031, 0.012, 0.035
-39.999, 0.631, 3.174, 0.381, 4.016, -0.750, -0.034, 0.012, 0.035
-39.999, 1.032, -0.962, 0.721, 2.128, -0.603, -0.037, 0.012, 0.035
-39.999, 2.211, -4.306, 0.892, 3.298, -0.597, -0.040, 0.012, 0.035
-39.999, 5.460, -9.752, 0.835, 3.518, -0.563, -0.043, 0.013, 0.034
-39.999, 6.788, -14.502, 0.535, 3.192, -0.547, -0.046, 0.013, 0.033
-39.999, 7.722, -19.078, 0.398, 3.194, -0.675, -0.048, 0.013, 0.032
-39.999, 7.233, -23.582, 0.382, 3.548, -0.912, -0.052, 0.014, 0.030
-39.999, 6.776, -27.451, 0.387, 3.452, -1.062, -0.055, 0.015, 0.028
-39.999, 5.989, -30.406, 0.427, 2.944, -1.061, -0.057, 0.015, 0.026
-39.615, 5.293, -33.082, 0.537, 2.801, -1.155, -0.060, 0.015, 0.024
-37.023, 5.094, -35.456, 0.734, 2.981, -1.380, -0.063, 0.016, 0.021
-34.719, 4.036, -38.672, 0.863, 2.803, -1.470, -0.066, 0.016, 0.018
-31.535, 1.498, -43.719, 0.806, 2.324, -1.391, -0.068, 0.016, 0.016
-28.277, -2.620, -48.794, 0.170, 2.395, -1.659, -0.070, 0.016, 0.012
-23.801, -8.743, -48.799, 0.329, 1.883, -1.508, -0.072, 0.016, 0.009
-18.922, -17.016, -48.799, 0.480, 1.768, -1.664, -0.073, 0.014, 0.005
-14.237, -24.395, -48.799, 0.185, 1.151, -1.378, -0.074, 0.013, 0.002
-9.906, -32.200, -48.799, 0.297, 0.728, -1.340, -0.075, 0.010, -0.002
-7.720, -36.960, -48.799, 0.437, 0.084, -0.867, -0.076, 0.008, -0.006
-7.573, -39.263, -48.799, 0.605, -0.554, -0.527, -0.076, 0.005, -0.009
-9.691, -39.265, -48.799, 0.484, -1.021, -0.075, -0.077, 0.002, -0.013
-12.848, -36.931, -48.799, 0.427, -1.687, 0.353, -0.078, -0.001, -0.017
-16.545, -33.512, -48.799, 0.301, -1.913, 0.675, -0.079, -0.003, -0.020
-20.801, -30.054, -43.590, 0.266, -2.540, 1.102, -0.081, -0.005, -0.023
-25.533, -26.334, -36.637, 0.159, -2.555, 1.250, -0.082, -0.007, -0.026
-30.079, -22.002, -30.107, 0.108, -3.166, 1.671, -0.085, -0.009, -0.028
-34.390, -18.663, -23.746, 0.087, -3.047, 1.668, -0.087, -0.010, -0.030
-38.196, -16.434, -17.755, 0.121, -3.668, 2.024, -0.090, -0.012, -0.031
-39.999, -17.026, -11.143, 0.159, -3.905, 2.129, -0.093, -0.013, -0.032
-39.999, -18.479, -6.522, 0.002, -3.672, 2.003, -0.095, -0.014, -0.033
-39.999, -21.277, 4.776, 0.213, -3.558, 2.473, -0.099, -0.016, -0.033
-39.999, -17.543, 14.773, 0.146, -3.368, 2.527, -0.101, -0.017, -0.032
-39.999, -12.024, 26.636, 0.232, -3.780, 3.208, -0.105, -0.018, -0.030
-39.999, -2.070, 29.671, 0.605, -3.242, 3.140, -0.107, -0.018, -0.028
-39.999, 9.086, 29.671, 0.809, -3.394, 3.662, -0.110, -0.018, -0.025
-39.886, 20.175, 29.671, 0.674, -2.744, 3.219, -0.113, -0.016, -0.024
-34.497, 26.943, 29.671, 0.603, -2.459, 3.022, -0.115, -0.015, -0.022
-28.712, 35.081, 29.671, 0.652, -2.494, 3.131, -0.118, -0.012, -0.019
-24.398, 39.205, 29.671, 0.768, -2.252, 2.786, -0.120, -0.009, -0.017
-19.591, 39.205, 29.671, 0.747, -1.775, 2.014, -0.121, -0.006, -0.015
-15.210, 39.205, 29.671, 0.724, -1.688, 1.597, -0.122, -0.003, -0.013
-11.409, 39.205, 29.671, 0.674, -1.346, 0.927, -0.123, -0.000, -0.010
-9.539, 30.130, 29.671, 0.663, -0.917, 0.340, -0.124, 0.002, -0.008
-8.504, 20.585, 25.970, 0.673, -0.715, 0.061, -0.124, 0.003, -0.007
-8.183, 14.385, 22.228, 0.696, -0.650, -0.048, -0.125, 0.005, -0.005
-7.986, 12.148, 20.780, 0.607, -0.537, -0.054, -0.126, 0.006, -0.003
-7.875, 13.752, 21.652, 0.477, -0.388, -0.010, -0.126, 0.006, -0.002
-7.706, 20.308, 24.459, 0.443, -0.290, 0.029, -0.127, 0.008, -0.000
-7.719, 28.325, 27.006, 0.494, -0.179, -0.017, -0.127, 0.010, 0.002
-7.950, 33.929, 27.579, 0.459, 0.012, -0.234, -0.128, 0.013, 0.004
