ax,ay,az,dx,dy,dz,x,y,z
-25.434, -17.314, 29.750, 0.228, -2.751, -0.826, -0.128, -0.008, -0.037
-19.558, -15.984, 29.750, -0.041, -2.452, -0.764, -0.130, -0.009, -0.035
-15.367, -11.157, 29.750, -0.272, -1.678, -0.502, -0.131, -0.010, -0.033
-12.803, -6.562, 29.750, -0.467, -1.485, -0.445, -0.132, -0.010, -0.030
-11.327, -4.784, 28.709, -0.421, -1.116, -0.386, -0.133, -0.011, -0.028
-10.329, -5.719, 28.149, -0.318, -1.122, -0.470, -0.134, -0.011, -0.026
-9.117, -8.200, 27.037, -0.142, -0.867, -0.433, -0.134, -0.012, -0.024
-7.850, -10.941, 23.247, -0.077, -0.806, -0.463, -0.135, -0.012, -0.023
-7.125, -12.435, 18.896, -0.040, -0.593, -0.334, -0.135, -0.013, -0.021
-6.652, -11.323, 15.923, -0.004, -0.577, -0.240, -0.136, -0.014, -0.020
-6.119, -9.644, 13.960, 0.040, -0.458, -0.104, -0.136, -0.015, -0.019
-5.881, -6.783, 12.904, 0.076, -0.462, -0.024, -0.137, -0.015, -0.018
-5.449, -4.525, 11.724, 0.121, -0.411, 0.024, -0.137, -0.016, -0.017
-5.113, -2.895, 10.830, 0.126, -0.322, 0.029, -0.138, -0.016, -0.016
-4.721, -1.847, 10.285, 0.130, -0.280, 0.022, -0.138, -0.016, -0.016
-4.540, -2.150, 10.346, 0.133, -0.267, -0.005, -0.138, -0.016, -0.015
-4.444, -2.547, 9.969, 0.126, -0.213, -0.021, -0.139, -0.016, -0.014
-4.388, -2.646, 8.527, 0.096, -0.135, -0.017, -0.139, -0.017, -0.013
-4.474, -2.953, 6.637, 0.060, -0.095, -0.015, -0.139, -0.017, -0.013
-4.509, -2.501, 4.879, 0.032, -0.077, -0.006, -0.140, -0.017, -0.013
-4.478, -1.011, 3.572, 0.026, -0.055, 0.013, -0.140, -0.017, -0.012

-5.585, 10.782, -11.797, -0.291, 0.545, -0.988, -0.000, 0.001, -0.001
-5.688, 10.883, -12.883, -0.416, 0.563, -1.199, -0.001, 0.001, -0.002
-6.133, 10.031, -13.822, -0.392, 0.445, -1.161, -0.001, 0.002, -0.003
