ax,ay,az,gx,gy,gz
-0.642, -0.954, -0.731, -28.809, -82.947, -193.359
-0.597, -1.320, -0.929, -38.757, -92.529, -190.430
-0.558, -1.772, -1.186, -38.818, -106.445, -184.265
-0.578, -2.361, -1.246, -25.330, -127.319, -173.706
-0.545, -3.038, -1.047, -2.319, -152.588, -157.532
-0.559, -3.663, -0.498, 20.081, -178.040, -133.728
-0.559, -4.000, 0.128, 44.250, -196.777, -102.478
-0.510, -4.000, 0.676, 60.791, -206.787, -62.866
-0.512, -4.000, 1.301, 49.072, -208.618, -18.555
-0.502, -4.000, 1.872, 27.649, -203.979, 29.297
-0.497, -4.000, 2.310, 16.479, -193.054, 76.721
-0.546, -4.000, 2.659, 20.996, -177.307, 119.934
-0.671, -3.998, 2.887, 32.104, -158.936, 163.208
-0.801, -3.433, 3.108, 43.152, -139.404, 210.815
-0.915, -2.754, 3.359, 55.969, -119.568, 251.709
-1.032, -2.050, 3.381, 71.472, -96.863, 285.889
-1.130, -0.816, 3.325, 86.243, -72.998, 320.068
-1.122, 0.796, 3.090, 86.365, -49.622, 343.445
-1.041, 2.249, 2.903, 85.571, -31.128, 342.529
-0.793, 3.599, 2.736, 80.078, -15.686, 319.885
-0.567, 4.000, 2.655, 64.880, -1.709, 277.710
-0.344, 4.000, 2.624, 44.250, 14.038, 222.290
-0.189, 4.000, 2.492, 22.278, 33.142, 162.781
-0.083, 3.998, 2.171, 13.550, 53.772, 106.628
-0.047, 3.314, 1.659, 16.174, 72.632, 59.998
0.001, 2.685, 1.072, 24.292, 84.778, 30.090
0.059, 2.330, 0.492, 32.776, 88.989, 13.550
0.093, 2.160, 0.025, 32.349, 85.022, 3.479
0.096, 2.174, -0.300, 27.405, 73.792, -3.723
0.081, 2.162, -0.420, 25.269, 57.678, -14.709
0.019, 2.049, -0.249, 27.771, 39.001, -28.870
-0.041, 1.892, 0.188, 29.846, 22.705, -43.396
-0.098, 1.833, 0.504, 26.611, 15.869, -56.152
-0.133, 1.724, 0.600, 20.020, 16.907, -70.435
-0.196, 1.608, 0.453, 13.245, 20.813, -84.900
-0.250, 1.602, 0.122, -0.549, 23.499, -98.511
-0.241, 1.549, -0.348, -15.442, 21.057, -113.892
-0.269, 1.349, -0.664, -31.067, 9.399, -131.775
-0.345, 1.055, -0.770, -40.833, -9.705, -148.132
-0.383, 0.762, -0.672, -41.016, -32.837, -159.119
-0.402, 0.482, -0.386, -40.405, -55.542, -166.382
-0.412, 0.199, -0.092, -33.386, -73.486, -170.410
-0.413, 0.061, 0.142, -24.231, -86.365, -169.800
-0.418, -0.112, 0.461, -31.433, -94.971, -167.114
-0.409, -0.230, 0.776, -58.533, -98.694, -164.368
-0.388, -0.263, 0.972, -67.993, -99.670, -157.593
-0.387, -0.319, 1.131, -55.176, -99.243, -150.696
-0.392, -0.214, 1.180, -35.889, -97.412, -143.127
-0.371, 0.042, 1.216, -16.846, -96.497, -136.658
-0.353, 0.106, 1.356, -9.277, -96.985, -139.038
-0.356, -0.017, 1.521, -15.381, -96.252, -146.301
-0.318, -0.317, 1.651, -32.959, -92.957, -153.198
-0.269, -0.734, 1.751, -49.194, -88.562, -155.823
-0.243, -1.000, 1.656, -62.256, -82.275, -149.658
-0.233, -1.198, 1.524, -65.796, -78.674, -138.062
-0.201, -1.374, 1.628, -54.565, -81.116, -124.817
-0.154, -1.435, 1.857, -40.955, -83.496, -108.215
-0.095, -1.420, 2.091, -28.809, -82.336, -91.187
-0.054, -1.331, 2.345, -19.714, -77.698, -74.768
-0.012, -1.093, 2.580, -22.461, -68.420, -59.570
0.044, -0.882, 2.687, -39.368, -53.162, -49.133
0.084, -0.781, 2.643, -58.411, -35.461, -44.128
0.128, -0.839, 2.338, -70.801, -16.418, -40.833
0.199, -0.890, 1.882, -71.167, -1.343, -35.034
0.229, -0.814, 1.432, -63.416, 6.653, -24.902
0.232, -0.554, 1.092, -50.842, 7.202, -13.733
0.220, -0.268, 0.872, -38.513, 2.258, -6.348
0.210, -0.080, 0.803, -26.062, -6.653, -5.859
0.175, 0.023, 0.894, -15.686, -18.188, -9.033
0.156, 0.062, 1.135, -10.864, -28.320, -14.099
0.165, -0.070, 1.447, -11.475, -33.936, -20.691
0.137, -0.296, 1.710, -16.357, -33.447, -25.269
0.149, -0.469, 1.786, -22.705, -26.978, -23.621
0.151, -0.516, 1.739, -27.344, -17.456, -17.090
0.135, -0.400, 1.576, -28.564, -8.484, -7.751

-0.140, 0.041, 2.835, -43.030, 26.428, 64.880
-0.158, 0.242, 2.979, -50.537, 39.734, 68.604
-0.195, 0.443, 3.034, -53.223, 54.871, 69.580
-0.234, 0.567, 3.040, -51.025, 71.045, 67.566
-0.254, 0.708, 2.973, -46.753, 87.280, 65.063
-0.283, 0.880, 2.871, -39.307, 102.783, 61.707
-0.298, 0.964, 2.746, -32.959, 117.188, 55.908
-0.341, 1.071, 2.556, -33.386, 130.676, 48.950
-0.380, 1.079, 2.343, -34.973, 142.029, 39.917
-0.417, 1.002, 2.198, -40.833, 150.574, 30.518
-0.489, 0.974, 2.118, -55.603, 157.349, 22.522
-0.562, 1.028, 2.020, -66.833, 164.429, 16.541
-0.630, 1.067, 1.929, -74.829, 171.387, 8.789
-0.713, 1.153, 1.804, -78.613, 178.528, 1.221
-0.793, 1.214, 1.652, -79.895, 185.181, -7.629
-0.867, 1.198, 1.471, -77.209, 190.735, -19.043
-0.915, 1.140, 1.281, -71.289, 195.129, -30.273
-0.949, 1.067, 1.110, -64.575, 197.815, -40.222
-0.995, 1.012, 0.901, -57.251, 199.829, -48.645
-0.968, 0.976, 0.609, -52.368, 200.562, -56.091
-0.987, 0.973, 0.355, -54.077, 197.815, -63.171
-0.947, 1.007, 0.164, -62.866, 192.200, -70.679
-0.901, 1.017, 0.064, -71.777, 184.692, -79.041
-0.895, 1.007, 0.031, -77.026, 176.819, -88.257
-0.886, 0.999, 0.016, -79.773, 170.288, -96.924
-0.822, 0.972, -0.100, -81.055, 164.978, -105.164
-0.825, 0.943, -0.274, -84.961, 159.790, -113.770
-0.813, 0.948, -0.479, -91.919, 153.503, -121.826
-0.778, 0.969, -0.721, -95.947, 144.714, -129.761
-0.760, 0.989, -0.911, -94.666, 132.141, -138.367
-0.732, 1.032, -1.086, -90.027, 117.126, -147.339
-0.694, 1.000, -1.239, -85.144, 99.976, -157.959
-0.664, 0.902, -1.456, -85.022, 81.299, -169.067
-0.678, 0.708, -1.545, -87.402, 59.875, -179.993
-0.647, 0.493, -1.615, -89.111, 36.560, -188.599
-0.640, 0.267, -1.609, -91.064, 11.536, -193.909
-0.661, 0.122, -1.527, -93.933, -12.329, -195.312
-0.627, 0.129, -1.494, -88.196, -34.668, -193.665
-0.655, 0.036, -1.437, -78.613, -57.800, -194.336
-0.682, -0.054, -1.383, -67.261, -80.139, -195.557
-0.750, -0.268, -1.266, -56.091, -101.318, -197.754
-0.776, -0.625, -1.005, -45.776, -122.498, -199.890
-0.770, -1.087, -0.671, -36.499, -140.625, -198.914
-0.743, -1.527, -0.409, -29.114, -153.809, -191.345
-0.695, -1.974, -0.295, -21.851, -162.415, -178.711
