-0.745, -0.058, -2.653, 31.311, -114.624, 14.587
-0.796, -0.217, -2.231, 25.330, -145.203, 10.010
-0.811, -0.476, -1.790, 31.555, -171.875, 9.277
-0.873, -0.565, -1.625, 41.382, -191.345, 15.869
-0.882, -0.507, -1.451, 46.326, -210.632, 25.391
-0.886, -0.443, -1.117, 44.312, -231.140, 34.058
-0.917, -0.279, -0.748, 33.081, -248.779, 43.884
-0.960, -0.007, -0.030, 19.897, -266.602, 53.345
-0.946, 0.212, 0.922, 18.616, -282.166, 59.814
-0.930, 0.498, 1.894, 28.992, -290.283, 65.308
-0.902, 0.693, 2.969, 39.307, -291.870, 66.650
-0.823, 0.909, 4.000, 40.222, -286.926, 65.613
-0.671, 1.061, 4.000, 35.767, -270.508, 61.890
-0.497, 1.196, 4.000, 36.560, -238.831, 57.373
-0.295, 1.274, 4.000, 43.823, -197.388, 50.598
-0.118, 1.327, 4.000, 52.979, -151.184, 43.579
0.044, 1.397, 4.000, 57.861, -102.295, 35.706
0.162, 1.320, 4.000, 54.504, -52.429, 25.391
0.197, 1.276, 4.000, 47.729, -1.282, 16.235
0.172, 1.325, 4.000, 45.410, 50.049, 9.155
0.017, 1.306, 4.000, 48.889, 101.685, 0.488
-0.232, 1.199, 4.000, 56.213, 150.024, -9.033
-0.514, 1.060, 4.000, 63.660, 191.895, -18.372
-0.828, 0.859, 4.000, 67.993, 225.403, -27.649
-1.091, 0.492, 3.377, 72.449, 252.930, -36.133
-1.305, 0.152, 2.489, 76.111, 275.940, -40.161
-1.448, -0.061, 1.662, 75.928, 292.786, -38.574
-1.546, -0.219, 0.859, 71.228, 303.528, -35.095
-1.606, -0.331, 0.071, 66.345, 308.228, -31.128
-1.645, -0.460, -0.728, 67.261, 305.725, -27.222
-1.591, -0.762, -1.610, 75.989, 296.326, -23.804
-1.466, -1.116, -2.433, 87.036, 277.466, -16.296
-1.334, -1.167, -3.012, 97.473, 249.573, -0.488
-1.163, -1.042, -2.896, 102.661, 212.952, 16.968
-0.870, -0.847, -3.119, 111.267, 179.993, 33.936
-0.750, -0.514, -3.189, 106.873, 151.184, 47.546
-0.713, 0.122, -2.912, 96.680, 117.676, 61.707
-0.644, 0.473, -2.707, 85.327, 89.783, 61.096
-0.587, 0.521, -2.690, 64.453, 68.726, 50.476
-0.548, 0.355, -2.970, 45.898, 49.561, 40.039
-0.512, 0.151, -3.433, 46.326, 27.588, 33.569
-0.516, -0.075, -3.881, 53.467, -2.197, 31.433
-0.538, -0.213, -4.000, 58.960, -41.443, 33.142
-0.683, -0.270, -4.000, 63.660, -87.830, 37.842
-0.825, -0.337, -3.777, 59.082, -137.024, 41.565
-0.989, -0.508, -3.089, 42.664, -182.678, 45.288
-1.138, -0.694, -2.337, 19.531, -217.346, 52.063
-1.203, -0.767, -1.735, 2.930, -241.394, 65.125
-1.285, -0.683, -1.282, -22.766, -257.446, 80.688
-1.273, -0.305, -0.904, -50.171, -269.653, 100.220
